"Feature","Gain"
"Chi_Dz.p.",0.00115183027091592
"GATS5m",0.0011474797354954
"DISPs",0.00114678512971946
"Mor07m",0.00114032453691969
"R3e.",0.00113588614610012
"Mor15e",0.00113523285412623
"Mor13v",0.00113486976404294
"MATS1e",0.00110795415130531
"Mor21m",0.00110630099234243
"H2i",0.00110157467197742
"Mor24m",0.00110022630823449
"MLOGP",0.00108917881065794
"GATS1s",0.00108501675626439
"Mor16m",0.00107685582432744
"SM6_B.v.",0.00107636308120801
"R3i.",0.0010726191637582
"ATSC1e",0.00104662573496185
"RDF110v",0.00103450870333271
"nN",0.00103423919288857
"AVS_X",0.00103241855526832
"RDF020s",0.00103159563732921
"ZM1Per",0.00102575613810736
"X5v",0.00102074281993997
"Mor32i",0.00101235688092453
"ON0V",0.00100460434721003
"RDF060u",0.000997974850871633
"Ds",0.000994615066593027
"MATS8s",0.000993841664674341
"Mor24i",0.000989922309304549
"SIC3",0.000978531264042009
"Mor27m",0.000975175434425236
"G3m",0.000963314331122894
"Mor09u",0.000956278817856733
"D.Dtr05",0.000955091816878977
"ATSC6e",0.000940188237362003
"E1v",0.00093621805132892
"MATS3m",0.000931610829882776
"Eig05_AEA.ri.",0.000924547118639781
"GATS8p",0.000920547931843569
"MATS5v",0.000918233592576851
"H5m",0.000916146579931897
"JGI5",0.00091570998485399
"E1s",0.000913532655342912
"Mor28v",0.000912502005949236
"RDF010s",0.00090840799726569
"SpPosA_X",0.000906684300844129
"WiA_Dz.v.",0.000905240672330941
"ZM1Kup",0.000905219000557956
"Mor23v",0.000899045147626576
"DELS",0.000896421800360487
"Eig11_EA.dm.",0.000889487147381612
"Mor16e",0.00088867209131917
"G3u",0.000886215371580719
"J_Dz.v.",0.000877723714511066
"SpPosA_B.s.",0.00087375380996362
"Mor25p",0.000867416707571824
"VE2_Dz.p.",0.000866379411047072
"SpPosA_B.v.",0.000864790480628266
"RDF040u",0.000861170849308338
"Mor32s",0.000861014580300683
"RDF050p",0.000860841591383879
"RDF020u",0.000856234962864198
"Chi0_EA.dm.",0.000853899105308416
"Si",0.000851771314093788
"ATSC2s",0.000849631403721925
"L2s",0.000849043294393758
"Mor10e",0.000848743371776574
"H4m",0.000840567394587703
"nBM",0.000839529746077926
"Mor31i",0.00083766197193221
"ZM1MulPer",0.000835177266503211
"R2s",0.000823597322139374
"R5u.",0.000820602421952164
"Eta_sh_p",0.00081992716193181
"nDB",0.000818373321838658
"SM4_X",0.000815643202763485
"R5e.",0.000812765268385526
"E1m",0.000808424865985353
"Mor02u",0.000794631823898142
"R5m.",0.00078848644249854
"J_D.Dt",0.00078577990291755
"TDB09s",0.000785339426910205
"Mor25u",0.000785290360052928
"G2m",0.000782674918616579
"MATS4m",0.000774992622877757
"L1u",0.000773171256065421
"RDF045p",0.000770589908302412
"VR2_G",0.000763883041708606
"TDB05u",0.00076252798763484
"X5A",0.000754890112035076
"HATS0s",0.000750792270397385
"nRCO",0.000750021955897581
"Mor08p",0.000747611387483794
"IC1",0.000746446300414826
"MATS1m",0.000744862639575641
"P_VSA_MR_2",0.000743825518906587
"SpMaxA_EA.bo.",0.000740443655832141
"Mor11i",0.00073934668376892
"TIC1",0.000734761703958333
"SM15_AEA.bo.",0.00073455175500891
"Mor24u",0.000733989881230099
"P1p",0.000732320945587314
"S2K",0.000732182428333608
"Mor11s",0.000731647797976321
"IDDE",0.000726039549131286
"MATS7m",0.000718039019399394
"VE1_Dt",0.000713318920179771
"S3K",0.000710833557320375
"P_VSA_v_3",0.000710150046095293
"RDF035p",0.000709843469716185
"GATS6e",0.000707422257178325
"Sp",0.000704123773479401
"PCR",0.000703033888139934
"SpMin3_Bh.v.",0.00069969130101255
"HATS7s",0.000698077063376017
"Mor31v",0.000688983242856199
"J_X",0.000688846200990871
"R6i",0.000688747164818746
"MATS6i",0.000688644029282712
"Mor18e",0.000685101411088608
"GATS6v",0.000683504055694671
"Mor11m",0.00067767739856259
"MATS4e",0.000677186195503984
"Psi_i_1d",0.000674946486633411
"VE1_B.p.",0.000673909861559049
"MATS1s",0.00067330313691528
"E3u",0.000668333710693218
"RDF045e",0.000668317135017202
"G2u",0.000663650251853218
"VAR",0.000662301378465522
"E2s",0.000658337527024525
"Eig04_EA.ri.",0.000656911305479264
"MATS3p",0.000655805972997661
"SpDiam_AEA.ed.",0.0006554993447774
"R4e.",0.000654077403611798
"E2u",0.000645126596404707
"ZM1Mad",0.000645098952522352
"Mor14u",0.000643415841931408
"WiA_G.D",0.000643186126286535
"RTm.",0.00064104250495252
"HATS6i",0.000640302779660137
"P_VSA_MR_7",0.000636349373215689
"SpMaxA_B.s.",0.000627752122947646
"RDF085e",0.000627639425454862
"HATS3u",0.000626107274206388
"HATS7u",0.00062060907982204
"MATS6e",0.000617411324080579
"GATS3p",0.000616922781017459
"SpMax2_Bh.p.",0.000615167016307216
"R1m.",0.000612186231338019
"PW2",0.000611746225145675
"RDF045v",0.000604423445881637
"GATS3e",0.000603959791487455
"nH",0.000594969062048193
"L1s",0.000594321964978288
"P2u",0.000590119942354686
"TIE",0.000589945954331891
"PJI2",0.000588134842541808
"RDF025m",0.000586487322060146
"X4A",0.000585945413050535
"H1e",0.00058014937233032
"F03.C.O.",0.000580085096277329
"Mor17s",0.000579191643534339
"E2v",0.000574906067730382
"RDF085s",0.00057425522813327
"MATS5e",0.000573943066342434
"Mor22m",0.000569828966447652
"SMTIV",0.000568552370270876
"SpMin3_Bh.s.",0.000565414115628851
"ASP",0.00055891222306427
"DLS_04",0.000555782679745269
"Mor11e",0.00055358351800181
"MATS7e",0.000552459802078856
"MATS2i",0.000551446178874248
"Eig05_AEA.dm.",0.000550871465797032
"MATS5s",0.000547786383223254
"Mor18s",0.000547213601223113
"C.",0.00054594084840513
"TDB07i",0.000545699281532917
"AAC",0.000545079033539603
"SpMax2_Bh.s.",0.000537863020454053
"SpDiam_B.s.",0.000536334017991824
"H6u",0.000535773353186569
"Eig02_AEA.dm.",0.000535387437511219
"G1p",0.000534742237235584
"SpMax1_Bh.s.",0.000532361685720895
"Mor30e",0.00053193853090694
"R3s",0.00052882944479889
"TDB05e",0.000526987476923127
"RDF040i",0.000521582293790318
"MATS2v",0.000520960666148786
"CIC4",0.00052083301309989
"Mor10u",0.000518758879197989
"Mor06p",0.000511154496389405
"R1e.",0.000506559827318789
"MATS6m",0.000506094870603995
"HATS6e",0.000503287039541221
"ChiA_X",0.000499555172901096
"TDB02m",0.000496955266694338
